lam,v1_calendar_viol,v3_calendar_viol,v1_butterfly_viol,v3_butterfly_viol,v1_taskA_rmse,v3_taskA_rmse,v1_taskB_rmse,v3_taskB_rmse
0.0,0.3671974736276288,0.0,0.0697440032251561,0.00047033528186519997,0.0777015846420301,0.06498790981548742,0.0796890400226666,0.0564197967638344
0.01,0.3028287307666465,0.0,0.0041658267822347,0.0,0.0777159196705548,0.06127337458220073,0.0816402949537577,0.058856754229777763
0.1,0.2944298864476247,0.0,0.0013438150910434,0.0005375260364173666,0.0773350637940419,0.06483460942347759,0.0831575169624398,0.06771224754095106
1.0,0.823557078545992,0.0,0.0,0.0,0.1093862817967368,0.08431518054947436,0.0717766354802587,0.09840942692331588
10.0,0.6128468722703756,0.0,0.0,0.0005375260364173666,0.1648354102577556,0.15622429722208173,0.1340914339938714,0.18901993683268517
100.0,0.5900692064771887,0.0,0.0,0.00013438150910433333,0.2661852557978464,0.14895826857497727,0.2348398889697789,0.18229302190265997
