window,method,n_folds,rmse_volpts,mae_volpts,median_abs_err_volpts,coverage,n_quotes
c1,"NN v3, band withheld",17,4.650238345460461,3.588627213699264,3.009466602943766,1.0,19800
c1,"NN v3, band in training",17,4.616739625307822,3.584870599388434,3.033950398378654,1.0,19800
c1,Fengler + PCHIP,17,1.4732852016333662,0.9057203243294643,0.5377786300565373,0.9865894132125945,19528
c1,SSVI + PCHIP,17,2.106602405252093,1.4930498911653771,1.1419556917917015,1.0,19800
c1,SVI + PCHIP,17,2.628030676569461,1.6124367241173898,0.9552321255354431,0.9420244707977535,18732
c1,ThinPlate (native 2-D),17,2.5067611384106185,1.5810212874058405,0.9661732224568949,1.0,19800
c1,CubicSpline + PCHIP,17,314.6494037416285,24.694379643746032,0.6446811981714783,1.0,19800
c2,"NN v3, band withheld",17,4.415856718976512,4.10304301187431,4.118291686274311,1.0,25359
c2,"NN v3, band in training",17,4.4206984899514525,4.117362964195287,4.113811884378946,1.0,25359
c2,Fengler + PCHIP,17,1.2100544043287411,0.7080343900858487,0.3961443941422077,0.9878802115355124,25042
c2,SSVI + PCHIP,17,1.7284192749031282,1.2390171647940962,0.9540618475116962,1.0,25359
c2,SVI + PCHIP,17,1.7070723577693643,1.04287154838983,0.6288403132210864,0.9897654006019214,25088
c2,ThinPlate (native 2-D),17,1.6481894604388152,1.0183547440240304,0.6198781146993593,1.0,25359
c2,CubicSpline + PCHIP,17,609.2750256669602,43.382602886053384,0.4793492171194207,1.0,25359
