method,n_pairs,pct_pairs,mean_pct_grid
CubicSpline,7942.0,91.19869050616973,35.24177334858049
SSVI,7942.0,0.0,0.0
SVI,7366.0,59.97827857724681,24.502922154515876
ThinPlate,7942.0,35.557794006547475,4.264111529903274
