date,method,expiry_earlier,expiry_later,n_grid,n_grid_common,n_price_viol,n_price_viol_common,n_scored,n_viol,n_viol_common
2020-01-01,Fengler,2020-01-09,2020-01-16,61,8,16,0,10,2,0
2020-01-01,Fengler,2020-01-16,2020-01-30,61,8,0,0,10,0,0
2020-01-01,Fengler,2020-01-30,2020-02-27,61,22,4,0,38,0,0
2020-01-01,Fengler,2020-02-27,2020-03-26,61,22,0,0,45,0,0
2020-01-17,Fengler,2020-01-30,2020-02-27,61,27,22,0,39,1,0
2020-01-17,Fengler,2020-02-27,2020-03-26,61,26,5,0,35,1,0
2020-02-04,Fengler,2020-02-13,2020-02-27,61,14,25,0,33,13,0
2020-02-04,Fengler,2020-02-27,2020-03-26,61,26,6,0,41,0,0
2020-02-04,Fengler,2020-03-26,2020-12-31,61,38,1,0,52,0,0
2020-02-20,Fengler,2020-02-27,2020-03-05,61,11,28,0,23,2,0
2020-02-20,Fengler,2020-03-05,2020-03-26,61,11,0,0,23,0,0
2020-02-20,Fengler,2020-03-26,2020-04-30,61,17,37,0,27,3,0
2020-03-11,Fengler,2020-03-19,2020-03-26,61,23,0,0,31,0,0
2020-03-11,Fengler,2020-03-26,2020-04-30,61,27,0,0,52,0,0
2020-03-11,Fengler,2020-04-30,2020-06-25,61,27,26,0,54,19,0
2020-03-11,Fengler,2020-06-25,2020-12-31,61,38,6,0,50,2,0
2020-03-30,Fengler,2020-04-09,2020-04-30,61,41,3,0,58,1,0
2020-03-30,Fengler,2020-04-30,2020-05-28,61,41,3,0,56,0,0
2020-04-21,Fengler,2020-04-30,2020-05-07,61,29,15,0,49,3,0
2020-04-21,Fengler,2020-05-07,2020-05-28,61,29,5,0,46,2,0
2020-04-21,Fengler,2020-05-28,2020-06-25,61,39,3,0,50,1,0
2020-05-08,Fengler,2020-05-21,2020-05-28,61,33,20,0,60,19,0
2020-05-08,Fengler,2020-05-28,2020-06-25,61,36,11,0,50,1,0
2020-05-08,Fengler,2020-06-25,2020-12-31,61,36,0,0,51,0,0
2020-05-27,Fengler,2020-06-04,2020-06-11,61,22,12,0,28,1,0
2020-05-27,Fengler,2020-06-11,2020-06-25,61,22,0,0,28,0,0
2020-05-27,Fengler,2020-06-25,2020-07-30,61,30,23,0,40,2,0
2020-05-27,Fengler,2020-07-30,2020-12-31,61,30,0,0,40,0,0
2020-06-12,Fengler,2020-06-25,2020-07-02,61,15,42,0,20,1,0
2020-06-12,Fengler,2020-07-02,2020-07-30,61,15,0,0,20,0,0
2020-06-12,Fengler,2020-07-30,2020-12-31,61,34,0,0,50,0,0
2020-06-30,Fengler,2020-07-09,2020-07-30,61,33,0,0,48,0,0
2020-06-30,Fengler,2020-07-30,2020-08-27,61,23,24,0,38,1,0
2020-06-30,Fengler,2020-08-27,2020-12-31,61,23,0,0,38,0,0
2020-07-16,Fengler,2020-07-23,2020-07-30,61,26,0,0,57,0,0
2020-07-16,Fengler,2020-07-30,2020-08-27,61,32,14,0,48,1,0
2020-07-16,Fengler,2020-08-27,2020-09-24,61,33,0,0,48,0,0
2020-07-16,Fengler,2020-09-24,2020-12-31,61,37,1,0,56,0,0
2020-08-04,Fengler,2020-08-13,2020-08-20,61,15,5,0,20,0,0
2020-08-04,Fengler,2020-08-20,2020-08-27,61,15,0,0,20,0,0
2020-08-04,Fengler,2020-08-27,2020-09-24,61,36,0,0,57,0,0
2020-08-04,Fengler,2020-09-24,2020-12-31,61,38,11,0,53,3,0
2020-08-21,Fengler,2020-09-03,2020-09-10,61,15,13,0,18,1,0
2020-08-21,Fengler,2020-09-10,2020-09-24,61,15,0,0,18,0,0
2020-08-21,Fengler,2020-09-24,2020-10-29,61,20,22,0,40,1,0
2020-08-21,Fengler,2020-10-29,2020-12-31,61,20,0,0,40,0,0
2020-09-08,Fengler,2020-09-17,2020-09-24,61,16,0,0,23,0,0
2020-09-08,Fengler,2020-09-24,2020-10-29,61,23,21,0,42,2,0
2020-09-08,Fengler,2020-10-29,2020-12-31,61,23,0,0,42,0,0
