method,n_in_range,rmse_in_range_volpts,mae_in_range_volpts,n_out_of_range,rmse_out_of_range_volpts,coverage_in_range
ThinPlate,53668,0.4223958702711088,0.128963028225902,4051,2.434252378254567,1.0
Fengler,53673,0.4453499575714361,0.1437225038293669,3391,2.3125841987733,0.9999441090990386
CubicSpline,53676,1.354327520607256,0.1906752213239368,4051,446.07039444511054,1.0
SSVI,53676,2.1645937053033166,1.463174115033937,4051,4.573114998403007,1.0
SVI,53676,2.3906949387799865,0.9773696408034758,4051,4.732299923484228,1.0
