method,n_x,rmse,mae,n_y,rmse_oor,rmse_vol_pts,mae_vol_pts,rmse_oor_vol_pts
ThinPlate,53668,0.004223958702711089,0.0012896302822590204,4051,0.024342523782545672,0.42239587027110886,0.12896302822590203,2.434252378254567
CubicSpline,53676,0.01354327520607256,0.0019067522132393683,4051,4.460703944451105,1.354327520607256,0.19067522132393683,446.07039444511054
SSVI,53676,0.021645937053033165,0.01463174115033937,4051,0.04573114998403007,2.1645937053033166,1.463174115033937,4.573114998403007
SVI,53676,0.023906949387799865,0.009773696408034757,4051,0.04732299923484228,2.3906949387799865,0.9773696408034758,4.732299923484228
