lam,seed,step,butterfly_viol_rate,calendar_viol_rate,min_dwdtau,mean_w_neg
0.0,1,18000,0.0014110058455956461,0.0,0.013111842796206474,0.0
0.0,2,18000,0.0,0.0,0.012067431584000587,0.0
0.0,3,18000,0.0,0.0,0.012261994183063507,0.0
0.01,1,18000,0.0,0.0,0.013530120253562927,0.0
0.01,2,18000,0.0,0.0,0.015118835493922234,0.0
0.01,3,18000,0.0,0.0,0.017682049423456192,0.0
0.1,1,18000,0.0,0.0,0.0092389564961195,0.0
0.1,2,18000,0.0,0.0,0.015402240678668022,0.0
0.1,3,18000,0.001612578109252167,0.0,0.019877588376402855,0.0
1.0,1,18800,0.0,0.0,0.0004053662996739149,0.0
1.0,2,18000,0.0,0.0,0.013516774401068687,0.0
1.0,3,18000,0.0,0.0,0.002673235023394227,0.0
10.0,1,18000,0.0012094335819391251,0.0,0.005437660962343216,0.0
10.0,2,18000,0.0,0.0,0.009815462864935398,0.0
10.0,3,18000,0.00040314452731304173,0.0,0.0106801837682724,0.0
100.0,1,24000,0.00040314452731304173,0.0,0.001876294962130487,0.0
100.0,2,18000,0.0,0.0,0.0017402491066604853,0.0
100.0,3,24000,0.0,0.0,0.004049288108944893,0.0
