date,method,expiry_earlier,expiry_later,n_grid,n_grid_common,n_price_viol,n_price_viol_common,n_scored,n_viol,n_viol_common
2020-12-14,Fengler,2021-01-28,2021-03-25,61,31,0,0,50,0,0
2020-12-31,Fengler,2021-01-07,2021-01-14,61,16,23,0,19,0,0
2020-12-31,Fengler,2021-01-14,2021-01-21,61,14,2,0,17,0,0
2020-12-31,Fengler,2021-01-21,2021-01-28,61,19,0,0,23,0,0
2020-12-31,Fengler,2021-01-28,2021-02-25,61,22,21,0,28,0,0
2020-12-31,Fengler,2021-02-25,2021-03-25,61,22,0,0,28,0,0
2021-01-18,Fengler,2021-01-28,2021-02-04,61,23,20,0,36,5,0
2021-01-18,Fengler,2021-02-04,2021-02-25,61,23,0,0,36,0,0
2021-01-18,Fengler,2021-02-25,2021-03-25,61,32,17,0,56,12,0
2021-02-04,Fengler,2021-02-11,2021-02-18,61,23,29,0,31,3,0
2021-02-04,Fengler,2021-02-18,2021-02-25,61,23,0,0,31,0,0
2021-02-04,Fengler,2021-02-25,2021-03-25,61,36,0,0,56,0,0
2021-02-22,Fengler,2021-03-04,2021-03-10,61,21,34,0,30,3,0
2021-02-22,Fengler,2021-03-10,2021-03-25,61,21,0,0,30,0,0
2021-02-22,Fengler,2021-03-25,2021-04-29,61,22,28,0,30,3,0
2021-02-22,Fengler,2021-04-29,2021-06-24,61,19,1,0,29,0,0
2021-02-22,Fengler,2021-06-24,2021-12-30,61,35,0,0,42,0,0
2021-03-10,Fengler,2021-03-18,2021-03-25,61,28,16,0,50,5,0
2021-03-10,Fengler,2021-03-25,2021-04-01,61,24,8,0,42,0,0
2021-03-10,Fengler,2021-04-01,2021-04-29,61,24,9,0,47,9,0
2021-03-10,Fengler,2021-04-29,2021-06-24,61,32,0,0,49,0,0
2021-03-10,Fengler,2021-06-24,2021-12-30,61,32,7,0,50,2,0
2021-03-31,Fengler,2021-04-08,2021-04-15,61,20,0,0,32,0,0
2021-03-31,Fengler,2021-04-15,2021-04-29,61,20,13,0,29,3,0
2021-03-31,Fengler,2021-04-29,2021-05-27,61,19,14,0,25,1,0
2021-03-31,Fengler,2021-05-27,2021-06-24,61,19,0,0,25,0,0
2021-03-31,Fengler,2021-06-24,2021-12-30,61,39,10,0,50,1,0
2021-04-20,Fengler,2021-04-29,2021-05-06,61,20,7,0,38,0,0
2021-04-20,Fengler,2021-05-06,2021-05-27,61,20,7,0,33,2,0
2021-04-20,Fengler,2021-05-27,2021-06-24,61,20,0,0,34,0,0
2021-04-20,Fengler,2021-06-24,2021-12-30,61,41,7,0,47,1,0
2021-05-07,Fengler,2021-05-20,2021-05-27,61,20,6,0,39,1,0
2021-05-07,Fengler,2021-05-27,2021-06-24,61,21,4,0,38,3,0
2021-05-07,Fengler,2021-06-24,2021-12-30,61,33,17,0,45,2,0
2021-05-26,Fengler,2021-06-03,2021-06-10,61,19,16,0,33,5,0
2021-05-26,Fengler,2021-06-10,2021-06-24,61,19,0,0,33,0,0
2021-05-26,Fengler,2021-06-24,2021-07-29,61,21,30,0,35,4,0
2021-05-26,Fengler,2021-07-29,2021-12-30,61,21,0,0,35,0,0
2021-06-11,Fengler,2021-06-24,2021-07-01,61,20,36,0,31,6,0
2021-06-11,Fengler,2021-07-01,2021-07-29,61,20,0,0,31,0,0
2021-06-11,Fengler,2021-07-29,2021-08-26,61,15,33,0,21,2,0
2021-06-11,Fengler,2021-08-26,2021-09-30,61,15,0,0,21,0,0
2021-06-11,Fengler,2021-09-30,2021-12-30,61,25,23,0,54,23,0
2021-06-29,Fengler,2021-07-08,2021-07-15,61,17,35,0,25,3,0
2021-06-29,Fengler,2021-07-15,2021-07-29,61,17,0,0,25,0,0
2021-06-29,Fengler,2021-07-29,2021-08-26,61,26,13,0,48,1,0
2021-06-29,Fengler,2021-08-26,2021-09-30,61,26,0,0,49,0,0
2021-06-29,Fengler,2021-09-30,2021-12-30,61,37,12,0,53,4,0
2021-07-15,Fengler,2021-07-22,2021-07-29,61,27,8,0,42,5,0
2021-07-15,Fengler,2021-07-29,2021-08-05,61,13,31,0,28,1,0
2021-07-15,Fengler,2021-08-05,2021-08-26,61,13,0,0,31,0,0
2021-07-15,Fengler,2021-08-26,2021-09-30,61,21,12,0,50,11,0
2021-07-15,Fengler,2021-09-30,2021-12-30,61,29,7,0,43,0,0
2021-08-03,Fengler,2021-08-12,2021-08-18,61,14,32,0,17,2,0
2021-08-03,Fengler,2021-08-18,2021-08-26,61,14,0,0,17,0,0
2021-08-03,Fengler,2021-08-26,2021-09-30,61,24,0,0,39,0,0
2021-08-03,Fengler,2021-09-30,2021-10-28,61,18,40,0,24,3,0
2021-08-03,Fengler,2021-10-28,2021-12-30,61,18,0,0,24,0,0
2021-08-20,Fengler,2021-09-02,2021-09-09,61,16,44,0,19,2,0
2021-08-20,Fengler,2021-09-09,2021-09-30,61,16,0,0,19,0,0
2021-08-20,Fengler,2021-09-30,2021-10-28,61,18,21,0,36,3,0
2021-08-20,Fengler,2021-10-28,2021-12-30,61,18,0,0,36,0,0
