scope,method,n_matched_rows,n_days,nw_lag,mean_loss_diff_nn_minus_baseline,median_daily_loss_diff,nn_better_days,baseline_better_days,sign_test_p,wilcoxon_stat,wilcoxon_p,dm_stat,p_value,lower_sq_err
blind_pooled_17folds,SVI,42170,1004,6,19.82246336319125,17.5666293551672,166,838,1.6465121512170516e-108,49183.0,3.445035646848321e-108,12.441807268447993,0.0,SVI
blind_pooled_17folds,SSVI,44295,1004,6,22.7783643482795,17.915243485755564,22,982,9.193178660009768e-258,1869.0,1.940969702063938e-163,17.118384320928307,0.0,SSVI
blind_pooled_17folds,ThinPlate,44295,1004,6,27.233040500790406,22.46896254415988,1,1003,1.1724124207446687e-299,55.0,8.730157395784864e-166,20.065417311468487,0.0,ThinPlate
blind_pooled_17folds,CubicSpline,44295,1004,6,-15427.213040577442,14.981457662271234,219,785,2.5294703040571775e-75,154664.0,2.4366745635114193e-26,-1.0659607799137274,0.28644137159529204,NN
fold16_contaminated,SVI,2990,61,3,29.836473020619177,28.757578334388874,0,61,8.673617379884035e-19,0.0,1.1111647363502784e-11,17.92926749103512,0.0,SVI
fold16_contaminated,SSVI,3004,61,3,28.1000302841958,27.488996764686078,0,61,8.673617379884035e-19,0.0,1.1111647363502784e-11,16.040121883974884,0.0,SSVI
fold16_contaminated,ThinPlate,3004,61,3,32.10358377812188,30.771320359650154,0,61,8.673617379884035e-19,0.0,1.1111647363502784e-11,17.451910665168985,0.0,ThinPlate
fold16_contaminated,CubicSpline,3004,61,3,-305.183836390887,26.184574399400493,12,49,1.969878418086636e-06,523.0,0.0024075691927545944,-1.7729843991370622,0.07623129202283185,NN
