variant,seed,fold,calendar_viol_rate,butterfly_viol_rate,min_dwdtau,contaminated
hard_cal_only,1,0,0.0,0.012900624874017335,0.023214561864733696,False
hard_cal_only,1,1,0.0,0.010884902237452126,0.019464468583464622,False
hard_cal_only,1,2,0.0,0.009877040919169522,0.017810922116041183,False
hard_cal_only,1,3,0.0,0.005240878855069542,0.016481708735227585,False
hard_cal_only,1,4,0.0,0.010078613182826043,0.01810678467154503,False
hard_cal_only,1,5,0.0,0.0014110058455956461,0.02011972852051258,False
hard_cal_only,1,6,0.0,0.0020157226365652087,0.01772361993789673,False
hard_cal_only,1,7,0.0,0.00463616206409998,0.018109003081917763,False
hard_cal_only,1,8,0.0,0.00927232412819996,0.01430315338075161,False
hard_cal_only,1,9,0.0,0.006047167909695626,0.014850849285721779,False
hard_cal_only,1,10,0.0,0.010683329973795605,0.013360448181629181,False
hard_cal_only,1,11,0.0,0.005240878855069542,0.014643128030002117,False
hard_cal_only,1,12,0.0,0.007659746018947792,0.013382948935031891,False
hard_cal_only,1,13,0.0,0.0036283007458173754,0.014705478213727474,False
hard_cal_only,1,14,0.0,0.007861318282604314,0.012067390605807304,False
hard_cal_only,1,15,0.0,0.0036283007458173754,0.013259300030767918,False
hard_cal_only,1,16,0.0,0.0,0.013147937133908272,True
hard_cal_only,1,17,0.0,0.004233017536786938,0.012495588511228561,False
hard_cal_only,2,0,0.0,0.11146946180205604,0.02630581334233284,False
hard_cal_only,2,1,0.0,0.11146946180205604,0.024537434801459312,False
hard_cal_only,2,2,0.0,0.07800846603507357,0.02176383137702942,False
hard_cal_only,2,3,0.0,0.0,0.02135738916695118,False
hard_cal_only,2,4,0.0,0.0,0.02079910784959793,False
hard_cal_only,2,5,0.0,0.0,0.02037755213677883,False
hard_cal_only,2,6,0.0,0.0,0.019259419292211533,False
hard_cal_only,2,7,0.0,0.0,0.014643747359514236,False
hard_cal_only,2,8,0.0,0.0,0.01612183451652527,False
hard_cal_only,2,9,0.0,0.0,0.01651928201317787,False
hard_cal_only,2,10,0.0,0.0,0.016149060800671577,False
hard_cal_only,2,11,0.0,0.0,0.01427813246846199,False
hard_cal_only,2,12,0.0,0.0,0.014283780008554459,False
hard_cal_only,2,13,0.0,0.0,0.015472005121409893,False
hard_cal_only,2,14,0.0,0.0,0.013395890593528748,False
hard_cal_only,2,15,0.0,0.0,0.011876051314175129,False
hard_cal_only,2,16,0.0,0.0,0.012199732474982738,True
hard_cal_only,2,17,0.0,0.0,0.011953543871641159,False
hard_cal_only,3,0,0.0,0.07881475508969965,0.022861886769533157,False
hard_cal_only,3,1,0.0,0.09917355371900827,0.01994222402572632,False
hard_cal_only,3,2,0.0,0.11106631727474299,0.02014949358999729,False
hard_cal_only,3,3,0.0,0.05140092723241282,0.01937491074204445,False
hard_cal_only,3,4,0.0,0.0280185446482564,0.018065446987748146,False
hard_cal_only,3,5,0.0,0.034872001612578106,0.01836846023797989,False
hard_cal_only,3,6,0.0,0.0,0.01920313760638237,False
hard_cal_only,3,7,0.0,0.0,0.016282955184578896,False
hard_cal_only,3,8,0.0,0.0,0.01595497503876686,False
hard_cal_only,3,9,0.0,0.0,0.014977412298321724,False
hard_cal_only,3,10,0.0,0.0,0.014018476009368896,False
hard_cal_only,3,11,0.0,0.0,0.014103613793849945,False
hard_cal_only,3,12,0.0,0.0006047167909695626,0.013752194121479988,False
hard_cal_only,3,13,0.0,0.0,0.013378015719354153,False
