variant,fold,task,subset,n,rmse,contaminated
hard_cal_only,7,A,out_of_range,1955,7.3861781499674315,False
hard_cal_only,7,A,all,25641,6.2810536025271615,False
hard_cal_only,7,B,in_range,13260,7.429646987939699,False
hard_cal_only,7,B,all,13260,7.429646987939699,False
hard_cal_only,8,A,in_range,25751,6.481250465260341,False
hard_cal_only,8,A,out_of_range,2095,8.654062637832354,False
hard_cal_only,8,A,all,27846,6.6693933457284675,False
hard_cal_only,8,B,in_range,14039,5.705891451712197,False
hard_cal_only,8,B,all,14039,5.705891451712197,False
hard_cal_only,9,A,in_range,28084,6.307870772569465,False
hard_cal_only,9,A,out_of_range,2265,7.869607267261454,False
hard_cal_only,9,A,all,30349,6.437522208859245,False
hard_cal_only,9,B,in_range,13843,3.8596727381168368,False
hard_cal_only,9,B,all,13843,3.8596727381168368,False
hard_cal_only,10,A,in_range,30570,6.317236366897445,False
hard_cal_only,10,A,out_of_range,2428,8.06381946772765,False
hard_cal_only,10,A,all,32998,6.461860552535603,False
hard_cal_only,10,B,in_range,13138,4.628221424744218,False
hard_cal_only,10,B,all,13138,4.628221424744218,False
hard_cal_only,11,A,in_range,32982,5.964071549217651,False
hard_cal_only,11,A,out_of_range,2588,7.239185418284285,False
hard_cal_only,11,A,all,35570,6.065894586452479,False
hard_cal_only,11,B,in_range,14747,4.167894315637306,False
hard_cal_only,11,B,all,14747,4.167894315637306,False
hard_cal_only,12,A,in_range,35242,6.051036977248254,False
hard_cal_only,12,A,out_of_range,2775,7.8547239972305025,False
hard_cal_only,12,A,all,38017,6.200471696778818,False
hard_cal_only,12,B,in_range,16280,3.917730438418702,False
hard_cal_only,12,B,all,16280,3.917730438418702,False
hard_cal_only,13,A,in_range,37822,5.760099110704434,False
hard_cal_only,13,A,out_of_range,2968,7.0789671177004,False
hard_cal_only,13,A,all,40790,5.8660752591064735,False
hard_cal_only,13,B,in_range,16950,3.7237780030100924,False
hard_cal_only,13,B,all,16950,3.7237780030100924,False
hard_cal_only,14,A,in_range,40723,5.814846482765239,False
hard_cal_only,14,A,out_of_range,3158,7.494856247485957,False
hard_cal_only,14,A,all,43881,5.951609943032482,False
hard_cal_only,14,B,in_range,16946,3.031602541531688,False
hard_cal_only,14,B,all,16946,3.031602541531688,False
hard_cal_only,15,A,in_range,43733,5.586114012316738,False
hard_cal_only,15,A,out_of_range,3370,7.180800495992756,False
hard_cal_only,15,A,all,47103,5.715004587959488,False
hard_cal_only,15,B,in_range,17435,4.9432116665577155,False
hard_cal_only,15,B,all,17435,4.9432116665577155,False
hard_cal_only,16,A,in_range,46744,5.435641950500892,True
hard_cal_only,16,A,out_of_range,3572,6.999942704575145,True
hard_cal_only,16,A,all,50316,5.561222658323121,True
hard_cal_only,16,B,in_range,15828,5.434462043075732,True
hard_cal_only,16,B,all,15828,5.434462043075732,True
hard_cal_only,17,A,in_range,49842,5.422819482557588,False
hard_cal_only,17,A,out_of_range,3783,7.254341922228178,False
hard_cal_only,17,A,all,53625,5.5717978400790065,False
hard_cal_only,17,B,in_range,5801,4.217973793533586,False
hard_cal_only,17,B,all,5801,4.217973793533586,False
