variant,mae_volpts_A,mae_volpts_B,rmse_volpts_A,rmse_volpts_B,label
hard,4.790934965008569,4.954153547657428,7.2178635703111205,5.715697969172312,A. v3 hard (published repl.)
soft_broad,323.452693074722,314.4912635129365,354.86521035081313,345.8182307478693,"B. v3-soft, broad colloc."
soft_targeted,337.8502782026742,326.27081141665957,369.3432874694804,357.2223695495087,"C. v3-soft, targeted colloc."
hard_cal_only,3.9153203074066414,4.163453055739793,5.905767539274542,4.594932990299803,"D. v3 hard, no bfly penalty"
soft_cal_only,5.689851351700631,6.038797607469782,7.627372484026587,6.816484246801883,"E. v3-soft, no bfly penalty"
