variant,seed,fold,task,rmse,mae,contaminated
hard_cal_only,2,15,B,4.477006762030951,4.037076711184071,False
hard_cal_only,2,16,A,6.822872336763731,4.321772829443641,True
hard_cal_only,2,16,B,5.245264382355298,4.849490659047445,True
hard_cal_only,2,17,A,6.609283606560703,4.253887758057407,False
hard_cal_only,2,17,B,4.295091642108378,3.735750843846812,False
hard_cal_only,3,0,A,9.992951322296099,6.6250839633913055,False
hard_cal_only,3,0,B,7.889818080683522,6.731896613664385,False
hard_cal_only,3,1,A,10.049220433497286,6.393071055414882,False
hard_cal_only,3,1,B,5.705012926008948,4.22470162144882,False
hard_cal_only,3,2,A,9.269160913185159,5.90174388850009,False
hard_cal_only,3,2,B,4.7196782568447535,2.9341628208791195,False
hard_cal_only,3,3,A,9.139575301191789,5.876942216351454,False
hard_cal_only,3,3,B,4.642629745744778,3.1221999153166515,False
hard_cal_only,3,4,A,8.67835104648373,5.452572555896096,False
hard_cal_only,3,4,B,6.416261082735756,5.320754679533954,False
hard_cal_only,3,5,A,8.076843839904043,5.05254093701146,False
hard_cal_only,3,5,B,6.494877626843121,5.807277856399869,False
hard_cal_only,3,6,A,8.008556946982509,5.06449132352752,False
hard_cal_only,3,6,B,8.29355017096087,7.638234076827928,False
hard_cal_only,3,7,A,7.873490185982224,4.984119751497712,False
hard_cal_only,3,7,B,7.71193900994692,7.120012802598063,False
hard_cal_only,3,8,A,7.756756671938424,5.1120169132692235,False
hard_cal_only,3,8,B,7.239514364616648,6.676879886970656,False
hard_cal_only,3,9,A,7.712222849252699,5.1179837476170436,False
hard_cal_only,3,9,B,4.93071761099981,4.295983413190988,False
hard_cal_only,3,10,A,7.693535381931959,5.129168136426298,False
hard_cal_only,3,10,B,5.459220395936265,4.591181993325323,False
hard_cal_only,3,11,A,7.446287825276149,5.016726987657099,False
hard_cal_only,3,11,B,5.351015106388601,4.665357941142836,False
hard_cal_only,3,12,A,7.460369919890526,5.03175250265078,False
hard_cal_only,3,12,B,4.783440686357546,3.9249671872816454,False
hard_cal_only,3,13,A,7.329624927419591,4.95310848071887,False
hard_cal_only,3,13,B,4.373839803100745,3.6041794906233724,False
hard_cal_only,3,14,A,7.1610818524216135,4.883416780102837,False
hard_cal_only,3,14,B,4.760925339334888,3.408303173103557,False
hard_cal_only,3,15,A,7.156589755497513,4.803286175027383,False
hard_cal_only,3,15,B,5.710398510102974,5.139882327875929,False
hard_cal_only,3,16,A,7.0604610198044275,4.697137439853274,True
hard_cal_only,3,16,B,6.224180550663528,5.725942420481175,True
hard_cal_only,3,17,A,6.889274144556512,4.61793096178209,False
hard_cal_only,3,17,B,4.972112608515911,4.34527086502402,False
soft_cal_only,1,0,A,7.621181897372343,4.3546655491133714,False
soft_cal_only,1,0,B,4.082635160742647,3.4028388084326795,False
soft_cal_only,1,1,A,7.384940438514732,4.882985448529733,False
soft_cal_only,1,1,B,5.0103496310448055,4.042446576916909,False
soft_cal_only,1,2,A,8.620177751781124,6.665236541685564,False
soft_cal_only,1,2,B,6.442591889786359,5.074820879268911,False
soft_cal_only,1,3,A,7.464519832716353,5.455291419572389,False
soft_cal_only,1,3,B,5.433809636123923,4.49790201510038,False
soft_cal_only,1,4,A,7.183836781463195,4.678511410392946,False
soft_cal_only,1,4,B,2.8430777871209516,2.186645890127126,False
soft_cal_only,1,5,A,6.128681865648111,4.328965213475205,False
soft_cal_only,1,5,B,6.875567073524116,6.509665078823815,False
soft_cal_only,1,6,A,5.812202580270331,3.899358974702351,False
soft_cal_only,1,6,B,8.026109383574765,7.644447793637022,False
soft_cal_only,1,7,A,9.85586170953077,7.354947343258777,False
soft_cal_only,1,7,B,5.402899081241577,3.981990775899955,False
soft_cal_only,1,8,A,5.841515989410051,4.014187091780466,False
soft_cal_only,1,8,B,6.724590796015217,6.230993435511246,False
soft_cal_only,1,9,A,6.239087117924782,4.6506197680876795,False
soft_cal_only,1,9,B,5.5525112238902,5.040594419390981,False
soft_cal_only,1,10,A,6.299493568007645,4.7890955671664255,False
soft_cal_only,1,10,B,6.114655275892814,5.445187944407735,False
soft_cal_only,1,11,A,5.588566807453866,3.913020184678645,False
soft_cal_only,1,11,B,4.2863543978674095,3.6447252845872,False
soft_cal_only,1,12,A,5.431418115198183,3.7267837036152893,False
soft_cal_only,1,12,B,3.2099434159678397,2.6015585116255027,False
soft_cal_only,1,13,A,6.835226527907532,5.076681725141416,False
soft_cal_only,1,13,B,5.6921105019769,4.608131875104209,False
soft_cal_only,1,14,A,6.276064260724557,4.938550883326903,False
soft_cal_only,1,14,B,4.7356422934494695,3.938063552830451,False
soft_cal_only,1,15,A,5.579703953385204,4.174102217809433,False
soft_cal_only,1,15,B,6.384819671108274,5.894348333450607,False
soft_cal_only,1,16,A,5.169611178613726,3.753001707693405,True
soft_cal_only,1,16,B,6.021593041770961,5.608561299308542,True
soft_cal_only,1,17,A,5.953514263696701,4.372331863447794,False
soft_cal_only,1,17,B,6.400269056037332,5.367905439202001,False
soft_cal_only,2,0,A,8.405994557955568,6.299208792467226,False
soft_cal_only,2,0,B,8.486838467712358,8.21249488351807,False
soft_cal_only,2,1,A,7.525931236985204,5.114264634150008,False
soft_cal_only,2,1,B,4.63323664618517,3.7580277516618614,False
soft_cal_only,2,2,A,7.097364773541032,4.796518015717359,False
soft_cal_only,2,2,B,3.8482578198189676,3.0597127923653704,False
soft_cal_only,2,3,A,7.543824223020457,5.81496341736211,False
soft_cal_only,2,3,B,6.109932467380587,5.3914464853488795,False
soft_cal_only,2,4,A,5.974355712636894,3.6684648678640546,False
soft_cal_only,2,4,B,4.557014524571347,4.074437054627945,False
soft_cal_only,2,5,A,5.931381720969705,3.743001943492578,False
soft_cal_only,2,5,B,4.2576249612731525,3.5362227335418606,False
soft_cal_only,2,6,A,5.786770652142717,3.6304998908403303,False
soft_cal_only,2,6,B,5.797976365805449,5.3763990774895785,False
soft_cal_only,2,7,A,5.585677979170251,3.5224572749889713,False
soft_cal_only,2,7,B,6.2427768640512555,5.805919695476171,False
soft_cal_only,2,8,A,5.979560299677784,4.347121440832154,False
soft_cal_only,2,8,B,7.497599170627772,7.222264297123846,False
soft_cal_only,2,9,A,5.517352095735082,3.6716590669775013,False
soft_cal_only,2,9,B,3.5364118200589356,2.952794786689316,False
soft_cal_only,2,10,A,14.961802516228076,12.137465335141025,False
soft_cal_only,2,10,B,12.46458729386415,10.41554297688145,False
soft_cal_only,2,11,A,5.361304355841825,3.5074618922679344,False
soft_cal_only,2,11,B,3.021723959062613,2.4335238828732546,False
soft_cal_only,2,12,A,5.335089668771401,3.447748507163846,False
soft_cal_only,2,12,B,2.108139256158275,1.6031285460791946,False
soft_cal_only,2,13,A,5.483599102688598,3.398929483603067,False
soft_cal_only,2,13,B,2.369337124442101,1.7369398292595324,False
soft_cal_only,2,14,A,5.33533729046639,3.926104804261775,False
soft_cal_only,2,14,B,3.4166196131088857,2.7711610697231084,False
soft_cal_only,2,15,A,5.250791416534276,3.8116566147995488,False
soft_cal_only,2,15,B,5.584719331260954,5.247179399121243,False
soft_cal_only,2,16,A,4.921072581945084,3.499102904789823,True
soft_cal_only,2,16,B,5.606964641308236,5.37591271033048,True
soft_cal_only,2,17,A,5.05921587950152,3.678609917759839,False
soft_cal_only,2,17,B,4.716617596839462,4.11739698213868,False
soft_cal_only,3,0,A,7.746427397303795,5.106108815075398,False
soft_cal_only,3,0,B,6.126352043204464,5.4209083600665275,False
soft_cal_only,3,1,A,7.465496252333453,4.6441205950118265,False
soft_cal_only,3,1,B,5.197456036882546,4.09701055524551,False
soft_cal_only,3,2,A,7.737173317255521,5.659166544227551,False
soft_cal_only,3,2,B,4.737349925830569,3.7877179076764493,False
soft_cal_only,3,3,A,6.658318343767095,4.077307037211145,False
soft_cal_only,3,3,B,2.734925353675052,2.1668731590132375,False
soft_cal_only,3,4,A,6.797382508837177,5.079382391231756,False
soft_cal_only,3,4,B,7.66639672926988,7.169432253668085,False
soft_cal_only,3,5,A,23.690483504305043,21.948684034623522,False
soft_cal_only,3,5,B,16.661600995688506,15.934346583145317,False
soft_cal_only,3,6,A,6.041842486608908,4.221217586966113,False
soft_cal_only,3,6,B,8.303647203403342,7.984599223698143,False
soft_cal_only,3,7,A,5.821528361325928,4.135349287763712,False
soft_cal_only,3,7,B,7.808716570102839,7.6241949344423965,False
soft_cal_only,3,8,A,5.592383892694372,3.7212534112456384,False
soft_cal_only,3,8,B,5.73750550181347,5.378701069352814,False
soft_cal_only,3,9,A,5.676788619372169,3.9320165205880824,False
soft_cal_only,3,9,B,4.190140860046498,3.4557232090734957,False
soft_cal_only,3,10,A,5.447998375700185,3.61780074823245,False
soft_cal_only,3,10,B,4.424681165357311,3.4772690072115298,False
soft_cal_only,3,11,A,5.508255413822592,3.709034050594456,False
soft_cal_only,3,11,B,3.5079320541371444,2.869294623547929,False
soft_cal_only,3,12,A,17.99805239412214,14.89732209095747,False
soft_cal_only,3,12,B,14.178079090458034,12.181119263933773,False
soft_cal_only,3,13,A,5.339147605612015,3.898792178211701,False
soft_cal_only,3,13,B,3.946525976621328,3.476201508307642,False
soft_cal_only,3,14,A,5.087438195726205,3.257491193908383,False
soft_cal_only,3,14,B,2.816003486032786,2.0428647986342425,False
soft_cal_only,3,15,A,5.095673605051125,3.607842747350421,False
soft_cal_only,3,15,B,4.962475878029328,4.588726149774697,False
soft_cal_only,3,16,A,5.822407788370816,4.6361535895076535,True
soft_cal_only,3,16,B,7.59904389762365,7.369417095779556,True
soft_cal_only,3,17,A,17.015063260944704,15.703687146108713,False
soft_cal_only,3,17,B,12.80271568060044,12.038028007760412,False
