variant,fold,step,butterfly_viol_rate,calendar_viol_rate,min_dwdtau,calendar_viol_rate_ext,min_dwdtau_ext,frac_w_neg,contaminated
hard,0,18000,0.0,0.0,0.025456883013248444,0.0,0.01966504380106926,0.0,False
hard,1,18000,0.0,0.0,0.022124357521533966,0.0,0.017179612070322037,0.0,False
hard,2,18000,0.0,0.0,0.01941462978720665,0.0,0.014838216826319695,0.0,False
hard,3,18000,0.0,0.0,0.018291402608156204,0.0,0.013713574968278408,0.0,False
hard,4,18000,0.0,0.0,0.01985727809369564,0.0,0.014832189306616783,0.0,False
hard,5,18000,0.0,0.0,0.02044196054339409,0.0,0.01542423665523529,0.0,False
hard,6,18000,0.0,0.0,0.019082801416516304,0.0,0.01425302866846323,0.0,False
hard,7,18000,0.0,0.0,0.01836094819009304,0.0,0.013601846061646938,0.0,False
hard,8,18000,0.0,0.0,0.01618729904294014,0.0,0.011787375435233116,0.0,False
hard,9,18000,0.0,0.0,0.016369439661502838,0.0,0.012082512490451336,0.0,False
hard,10,18000,0.0,0.0,0.015402603894472122,0.0,0.01133701205253601,0.0,False
hard,11,18000,0.0,0.0,0.015024526976048946,0.0,0.011102614924311638,0.0,False
hard,12,18000,0.0,0.0,0.01464934553951025,0.0,0.010803142562508583,0.0,False
hard,13,18000,0.0,0.0,0.014762600883841515,0.0,0.011005825363099575,0.0,False
hard,14,18000,0.0,0.0,0.014023007825016975,0.0,0.010420500300824642,0.0,False
hard,15,18000,0.0,0.0,0.01324715930968523,0.0,0.009695861488580704,0.0,False
hard,16,18000,0.0,0.0,0.013600703328847885,0.0,0.010059784166514874,0.0,True
hard,17,18000,0.0,0.0,0.012833062559366226,0.0,0.009458120912313461,0.0,False
hard_cal_only,0,18000,0.012900624874017335,0.0,0.023214561864733696,0.0,0.01731744408607483,0.0,False
hard_cal_only,1,18000,0.010884902237452126,0.0,0.019464468583464622,0.0,0.01448804885149002,0.0,False
hard_cal_only,2,18000,0.009877040919169522,0.0,0.017810922116041183,0.0,0.013200664892792702,0.0,False
hard_cal_only,3,18000,0.005240878855069542,0.0,0.016481708735227585,0.0,0.012012808583676815,0.0,False
hard_cal_only,4,18000,0.010078613182826043,0.0,0.01810678467154503,0.0,0.013097202405333519,0.0,False
hard_cal_only,5,18000,0.0014110058455956461,0.0,0.02011972852051258,0.0,0.014896206557750702,0.0,False
hard_cal_only,6,18000,0.0020157226365652087,0.0,0.01772361993789673,0.0,0.012887038290500641,0.0,False
hard_cal_only,7,18000,0.00463616206409998,0.0,0.018109003081917763,0.0,0.013145742937922478,0.0,False
hard_cal_only,8,18000,0.00927232412819996,0.0,0.01430315338075161,0.0,0.010167553089559078,0.0,False
hard_cal_only,9,18000,0.006047167909695626,0.0,0.014850849285721779,0.0,0.010643189772963524,0.0,False
hard_cal_only,10,18000,0.010683329973795605,0.0,0.013360448181629181,0.0,0.009529758244752884,0.0,False
hard_cal_only,11,18000,0.005240878855069542,0.0,0.014643128030002117,0.0,0.010621318593621254,0.0,False
hard_cal_only,12,18000,0.007659746018947792,0.0,0.013382948935031891,0.0,0.009555180557072163,0.0,False
hard_cal_only,13,18000,0.0036283007458173754,0.0,0.014705478213727474,0.0,0.010720423422753811,0.0,False
hard_cal_only,14,18000,0.007861318282604314,0.0,0.012067390605807304,0.0,0.008635958656668663,0.0,False
hard_cal_only,15,18000,0.0036283007458173754,0.0,0.013259300030767918,0.0,0.009551657363772392,0.0,False
hard_cal_only,16,18000,0.0,0.0,0.013147937133908272,0.0,0.009465422481298447,0.0,True
hard_cal_only,17,18000,0.004233017536786938,0.0,0.012495588511228561,0.0,0.009040177799761295,0.0,False
