k,iv
-0.3394702889880144,0.5167347130821818
-0.11347366869139816,0.20678507470540256
-0.10779183522396725,0.20374217038461265
-0.10496297902348953,0.20072949320099442
-0.10214210268184815,0.19835169630408864
-0.09932916130523356,0.19578184912450014
-0.09093750366898516,0.1857150323205665
-0.0881558607071083,0.18242005423267912
-0.07985705789241322,0.1715565607785927
-0.07436253857477254,0.16495330788830032
-0.06889804410269369,0.1570239478789732
-0.066176953988333,0.15280490087315313
-0.06346324811673683,0.14839179011120532
-0.0580578295498288,0.14159507214071643
-0.050004094742732014,0.13096789873552228
-0.04733386618685321,0.12822940322945162
-0.04467074876736947,0.1251689587226431
-0.04201470470925319,0.12195567089194874
-0.03936569653767634,0.11956774586837082
-0.03672368707483765,0.1172843757817487
-0.03146051703056307,0.1118419459371189
-0.028839283550688818,0.1095817742705683
-0.026224902976617975,0.10684020110654419
-0.02361733956953707,0.10453237955059358
-0.021016557869479785,0.10207625193275892
-0.01842252269243311,0.10014892795841918
-0.01583519912748213,0.09780872296972593
-0.013254552533990573,0.09620383445384353
-0.010680548538817686,0.09555825511510985
-0.005552332171898249,0.09281664386164254
-0.002998052366801447,0.09122497417288641
0.004625872743857877,0.0878236072104997
0.007154319097216588,0.08680064212903393
0.009676388529926491,0.08467456537690196
0.012192113127173816,0.08389766859327766
0.014701524732599383,0.08365551680019388
0.01720465495071795,0.08258323935429292
0.019701535149305182,0.08258975484759909
0.022192196461757092,0.08145358716495742
0.024676669789419046,0.08102788168142382
0.027154985803886166,0.08157350699927099
0.029627174949275057,0.0821462223649872
0.03209326744446859,0.08448482149584932
0.03455329328533097,0.08768701191372501
0.03700728224689772,0.09037840845112188
0.03945526388553779,0.09291912369577385
0.04189726754108957,0.09508058612968623
0.04433332233897072,0.09737504913443816
0.046763457192262325,0.10100418011591417
0.05160608166805039,0.10673209643097925
0.05882632964153755,0.11649709120634177
0.06361102776487369,0.12263640784437756
0.06837294152511744,0.12990487625061128
0.07074542187874787,0.13322132923277633
0.07311228688901406,0.13675207138551446
0.07782927676715277,0.1434160301914438
0.08252412107136056,0.15227663664742724
0.08719702677075304,0.15749846185582125
0.08952531653034422,0.16046231940788397
0.11251483475504287,0.19103186726942353
0.15696659732587673,0.2555865822512346
0.1995262117446727,0.3168323603921788
