method,strike,iv_actual,iv_pred,k,tau,date,expiry
SVI,15200.0,0.36445730840037843,0.3023683016084813,-0.11652200697569592,0.019178082191780823,2021-12-23,2021-12-30
SVI,16650.0,0.1785883217115116,0.30240053972321107,-0.025407218401473853,0.019178082191780823,2021-12-23,2021-12-30
SVI,16750.0,0.16967477402253558,0.30240298709489044,-0.019419176556851207,0.019178082191780823,2021-12-23,2021-12-30
SVI,17200.0,0.1440066116930811,0.30241417149448463,0.007091948991480606,0.019178082191780823,2021-12-23,2021-12-30
SVI,17550.0,0.14270506601295507,0.3024230047566729,0.027236515083948143,0.019178082191780823,2021-12-23,2021-12-30
SVI,17700.0,0.14944172388144533,0.3024268125649947,0.03574720475185678,0.019178082191780823,2021-12-23,2021-12-30
SVI,18300.0,0.22110847060822525,0.3024421039883339,0.06908362501944859,0.019178082191780823,2021-12-23,2021-12-30
SVI,18350.0,0.22726368759565516,0.3024433795294144,0.07181213967265268,0.019178082191780823,2021-12-23,2021-12-30
SVI,18450.0,0.24134199190579128,0.3024459300553875,0.07724693565860953,0.019178082191780823,2021-12-23,2021-12-30
SVI,18750.0,0.27830886765848606,0.30245357267903955,0.09337631758849316,0.019178082191780823,2021-12-23,2021-12-30
SVI,18900.0,0.2958697846985733,0.30245738616911627,0.10134448723767003,0.019178082191780823,2021-12-23,2021-12-30
SVI,19050.0,0.3074157326339527,0.30246119265744503,0.10924966674478331,0.019178082191780823,2021-12-23,2021-12-30
SVI,19950.0,0.42186738963734205,0.30248382675957175,0.1554117085079458,0.019178082191780823,2021-12-23,2021-12-30
SVI,20000.0,0.42789568557596774,0.30248507178840683,0.1579148387260642,0.019178082191780823,2021-12-23,2021-12-30
SSVI,15200.0,0.36445730840037843,0.41734147692441204,-0.11652200697569592,0.019178082191780823,2021-12-23,2021-12-30
SSVI,16650.0,0.1785883217115116,0.22397994924212666,-0.025407218401473853,0.019178082191780823,2021-12-23,2021-12-30
SSVI,16750.0,0.16967477402253558,0.20583400582383593,-0.019419176556851207,0.019178082191780823,2021-12-23,2021-12-30
SSVI,17200.0,0.1440066116930811,0.14278755944845764,0.007091948991480606,0.019178082191780823,2021-12-23,2021-12-30
SSVI,17550.0,0.14270506601295507,0.17975560452411207,0.027236515083948143,0.019178082191780823,2021-12-23,2021-12-30
SSVI,17700.0,0.14944172388144533,0.19702579142336168,0.03574720475185678,0.019178082191780823,2021-12-23,2021-12-30
SSVI,18300.0,0.22110847060822525,0.2558063082552361,0.06908362501944859,0.019178082191780823,2021-12-23,2021-12-30
SSVI,18350.0,0.22726368759565516,0.2600875040840335,0.07181213967265268,0.019178082191780823,2021-12-23,2021-12-30
SSVI,18450.0,0.24134199190579128,0.26842314439690984,0.07724693565860953,0.019178082191780823,2021-12-23,2021-12-30
SSVI,18750.0,0.27830886765848606,0.29182402024448695,0.09337631758849316,0.019178082191780823,2021-12-23,2021-12-30
SSVI,18900.0,0.2958697846985733,0.3027405354314744,0.10134448723767003,0.019178082191780823,2021-12-23,2021-12-30
SSVI,19050.0,0.3074157326339527,0.31320516725817354,0.10924966674478331,0.019178082191780823,2021-12-23,2021-12-30
SSVI,19950.0,0.42186738963734205,0.36852724825978517,0.1554117085079458,0.019178082191780823,2021-12-23,2021-12-30
SSVI,20000.0,0.42789568557596774,0.3712947243694683,0.1579148387260642,0.019178082191780823,2021-12-23,2021-12-30
ThinPlate,15200.0,0.36445730840037843,0.3631021561452227,-0.11652200697569592,0.019178082191780823,2021-12-23,2021-12-30
ThinPlate,16650.0,0.1785883217115116,0.17970986894439744,-0.025407218401473853,0.019178082191780823,2021-12-23,2021-12-30
ThinPlate,16750.0,0.16967477402253558,0.16908044263917332,-0.019419176556851207,0.019178082191780823,2021-12-23,2021-12-30
ThinPlate,17200.0,0.1440066116930811,0.14473941932875078,0.007091948991480606,0.019178082191780823,2021-12-23,2021-12-30
ThinPlate,17550.0,0.14270506601295507,0.14389694720829926,0.027236515083948143,0.019178082191780823,2021-12-23,2021-12-30
ThinPlate,17700.0,0.14944172388144533,0.14957599153487433,0.03574720475185678,0.019178082191780823,2021-12-23,2021-12-30
ThinPlate,18300.0,0.22110847060822525,0.22089242378454954,0.06908362501944859,0.019178082191780823,2021-12-23,2021-12-30
ThinPlate,18350.0,0.22726368759565516,0.22773820170654602,0.07181213967265268,0.019178082191780823,2021-12-23,2021-12-30
ThinPlate,18450.0,0.24134199190579128,0.24178653410806272,0.07724693565860953,0.019178082191780823,2021-12-23,2021-12-30
ThinPlate,18750.0,0.27830886765848606,0.27716443606757013,0.09337631758849316,0.019178082191780823,2021-12-23,2021-12-30
ThinPlate,18900.0,0.2958697846985733,0.29514857249658755,0.10134448723767003,0.019178082191780823,2021-12-23,2021-12-30
ThinPlate,19050.0,0.3074157326339527,0.3171511586088157,0.10924966674478331,0.019178082191780823,2021-12-23,2021-12-30
ThinPlate,19950.0,0.42186738963734205,0.4150622069512292,0.1554117085079458,0.019178082191780823,2021-12-23,2021-12-30
ThinPlate,20000.0,0.42789568557596774,0.420998715621556,0.1579148387260642,0.019178082191780823,2021-12-23,2021-12-30
CubicSpline,15200.0,0.36445730840037843,0.3636245406619728,-0.11652200697569592,0.019178082191780823,2021-12-23,2021-12-30
CubicSpline,16650.0,0.1785883217115116,0.17903797516336717,-0.025407218401473853,0.019178082191780823,2021-12-23,2021-12-30
CubicSpline,16750.0,0.16967477402253558,0.16836171713319378,-0.019419176556851207,0.019178082191780823,2021-12-23,2021-12-30
CubicSpline,17200.0,0.1440066116930811,0.1448696930043399,0.007091948991480606,0.019178082191780823,2021-12-23,2021-12-30
CubicSpline,17550.0,0.14270506601295507,0.14407143329940697,0.027236515083948143,0.019178082191780823,2021-12-23,2021-12-30
CubicSpline,17700.0,0.14944172388144533,0.14940402811595183,0.03574720475185678,0.019178082191780823,2021-12-23,2021-12-30
CubicSpline,18300.0,0.22110847060822525,0.22150427586596272,0.06908362501944859,0.019178082191780823,2021-12-23,2021-12-30
CubicSpline,18350.0,0.22726368759565516,0.22851990715190174,0.07181213967265268,0.019178082191780823,2021-12-23,2021-12-30
CubicSpline,18450.0,0.24134199190579128,0.24221190149089422,0.07724693565860953,0.019178082191780823,2021-12-23,2021-12-30
CubicSpline,18750.0,0.27830886765848606,0.27711093911137913,0.09337631758849316,0.019178082191780823,2021-12-23,2021-12-30
CubicSpline,18900.0,0.2958697846985733,0.2960113928367929,0.10134448723767003,0.019178082191780823,2021-12-23,2021-12-30
CubicSpline,19050.0,0.3074157326339527,0.31921163614472187,0.10924966674478331,0.019178082191780823,2021-12-23,2021-12-30
CubicSpline,19950.0,0.42186738963734205,0.393966027369637,0.1554117085079458,0.019178082191780823,2021-12-23,2021-12-30
CubicSpline,20000.0,0.42789568557596774,0.39398247046181006,0.1579148387260642,0.019178082191780823,2021-12-23,2021-12-30
Fengler,15200.0,0.3644573084003784,0.3633018997910533,-0.11652200697569592,0.0191780821917808,2021-12-23,2021-12-30
Fengler,16650.0,0.1785883217115116,0.1792374698047091,-0.025407218401473853,0.0191780821917808,2021-12-23,2021-12-30
