k,iv,w,g,in_observed,date,expiry,tau,kmin,kmax
-0.44726958913455184,0.6097986092880028,0.02241313853581044,0.14895935077694994,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.4346930041174558,0.6002968427816011,0.02172010572048845,0.13762706427918567,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.4221164191003598,0.5905295273841737,0.02101904849226483,0.12463691416880368,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.4095398340832637,0.5804685829534275,0.02030893991098938,0.10956266784429863,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.3969632490661677,0.5700798708050243,0.019588502192152357,0.09177324298811668,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.3843866640490717,0.5593207987725659,0.0188560948785501,0.07024671120112122,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.37181007903197566,0.5481361485626604,0.01810951019710781,0.043082916179346814,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.3592334940148796,0.5364496029639483,0.01734553392724359,0.005802024644076503,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.34665690899778356,0.5241407760147734,0.016558679911753738,-0.059737180498229736,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.33408032398068754,0.510913744792644,0.015733487127662864,-0.10005274831809419,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.3215037389635915,0.49671210413143285,0.014870970182451669,-0.058213755933902336,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.3089271539464955,0.4818609042160915,0.013995009540446262,-0.04293563323205276,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.2963505689293995,0.4664886327115756,0.013116318295563112,-0.034154611191570206,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.2837739839123034,0.4506717443042838,0.012241946478120129,-0.028419893920879437,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.2711973988952074,0.4344617594239928,0.011377135476272357,-0.024609615330732804,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.2586208138781113,0.41789417355884595,0.010525977771171176,-0.02226906695669209,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.24604422886101532,0.4009923086146099,0.009691743272596273,-0.02120120854356347,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.2334676438439193,0.3837690756262946,0.008877072534124201,-0.02132577584345753,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
